Id,Games,City,Sport,Event,Medal
28607,1980 Summer,Moskva,Athletics,Athletics Men's 100 metres,NA
28608,1980 Summer,Moskva,Athletics,Athletics Men's 200 metres,NA
28609,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28610,1996 Summer,Atlanta,Boxing,Boxing Men's Featherweight,NA
28611,1960 Summer,Roma,Boxing,Boxing Men's Bantamweight,NA
28612,1996 Summer,Atlanta,Boxing,Boxing Men's Welterweight,NA
28613,1976 Summer,Montreal,Boxing,Boxing Men's Light-Welterweight,NA
28614,1960 Summer,Roma,Athletics,Athletics Men's Shot Put,NA
28615,1964 Summer,Tokyo,Athletics,Athletics Men's Shot Put,NA
28616,1996 Summer,Atlanta,Athletics,Athletics Women's Marathon,NA
28617,2000 Summer,Sydney,Athletics,Athletics Women's Marathon,NA
28618,1996 Summer,Atlanta,Athletics,"Athletics Women's 10,000 metres",NA
28619,1980 Summer,Moskva,Athletics,Athletics Men's 100 metres,NA
28620,1980 Summer,Moskva,Athletics,Athletics Men's 200 metres,NA
28621,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28622,1988 Summer,Seoul,Athletics,Athletics Men's Long Jump,NA
28623,1988 Summer,Seoul,Athletics,Athletics Men's Triple Jump,NA
28624,1996 Summer,Atlanta,Athletics,Athletics Men's Long Jump,NA
28625,2008 Summer,Beijing,Athletics,Athletics Women's Marathon,NA
28626,2012 Summer,London,Athletics,Athletics Women's Marathon,NA
28627,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,NA
28628,1980 Summer,Moskva,Athletics,Athletics Women's 200 metres,NA
28629,1980 Summer,Moskva,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28630,1984 Summer,Los Angeles,Athletics,Athletics Women's 200 metres,NA
28631,1984 Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28632,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28633,2000 Summer,Sydney,Athletics,Athletics Men's 800 metres,NA
28634,2004 Summer,Athina,Athletics,Athletics Men's 800 metres,NA
28635,1992 Summer,Barcelona,Athletics,Athletics Men's High Jump,NA
28636,1996 Summer,Atlanta,Athletics,Athletics Men's High Jump,NA
28637,1976 Summer,Montreal,Athletics,Athletics Women's 400 metres,NA
28638,1976 Summer,Montreal,Athletics,Athletics Women's 4 x 400 metres Relay,NA
28639,2008 Summer,Beijing,Athletics,Athletics Women's 100 metres,NA
28640,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
28641,1992 Winter,Albertville,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28642,2004 Summer,Athina,Athletics,Athletics Men's 110 metres Hurdles,NA
28643,2008 Summer,Beijing,Athletics,Athletics Men's 110 metres Hurdles,NA
28644,1964 Summer,Tokyo,Athletics,Athletics Men's 20 kilometres Walk,NA
28645,1996 Summer,Atlanta,Athletics,Athletics Men's 110 metres Hurdles,NA
28646,1964 Summer,Tokyo,Athletics,"Athletics Men's 5,000 metres",NA
28647,1976 Summer,Montreal,Boxing,Boxing Men's Light-Flyweight,NA
28648,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,NA
28649,2012 Summer,London,Athletics,Athletics Men's Marathon,NA
28650,2012 Summer,London,Athletics,Athletics Men's 400 metres Hurdles,NA
28651,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Decathlon,NA
28652,1968 Summer,Mexico City,Boxing,Boxing Men's Flyweight,NA
28653,2008 Summer,Beijing,Athletics,Athletics Women's Marathon,NA
28654,1952 Summer,Helsinki,Athletics,Athletics Women's Discus Throw,NA
28655,1956 Summer,Melbourne,Athletics,Athletics Women's Discus Throw,NA
28656,2000 Summer,Sydney,Athletics,Athletics Men's 100 metres,NA
28657,2004 Summer,Athina,Athletics,Athletics Men's 100 metres,NA
28658,2012 Summer,London,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28659,2004 Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
28660,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28661,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28662,1980 Summer,Moskva,Athletics,Athletics Men's 100 metres,NA
28663,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28664,1984 Summer,Los Angeles,Athletics,Athletics Men's 100 metres,NA
28665,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28666,1988 Summer,Seoul,Athletics,Athletics Men's Marathon,NA
28667,1992 Summer,Barcelona,Athletics,Athletics Men's Marathon,NA
28668,1992 Summer,Barcelona,Athletics,Athletics Women's 800 metres,NA
28669,1972 Summer,Munich,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
28670,1992 Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",NA
28671,2004 Summer,Athina,Boxing,Boxing Men's Light-Flyweight,NA
28672,1968 Summer,Mexico City,Athletics,Athletics Men's 400 metres,NA
28673,1968 Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28674,1976 Summer,Montreal,Athletics,Athletics Men's 400 metres Hurdles,NA
28675,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Super G,NA
28676,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28677,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28678,1992 Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",NA
28679,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28680,1992 Summer,Barcelona,Boxing,Boxing Men's Lightweight,Bronze
28681,1972 Summer,Munich,Boxing,Boxing Men's Light-Middleweight,NA
28682,1984 Summer,Los Angeles,Athletics,"Athletics Men's 1,500 metres",NA
28683,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28684,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28685,2010 Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28686,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28687,1998 Winter,Nagano,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28688,2008 Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
28689,2012 Summer,London,Athletics,Athletics Women's Heptathlon,NA
28690,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Heptathlon,NA
28691,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28692,1972 Winter,Sapporo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28693,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 200 metres,NA
28694,1980 Summer,Moskva,Boxing,Boxing Men's Light-Heavyweight,NA
28695,1984 Summer,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,NA
28696,2014 Winter,Sochi,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28697,1948 Summer,London,Athletics,"Athletics Men's 1,500 metres",NA
28698,1952 Summer,Helsinki,Athletics,"Athletics Men's 1,500 metres",NA
28699,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
28700,1980 Winter,Lake Placid,Alpine Skiing,Alpine Skiing Women's Slalom,NA
28701,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 800 metres,NA
28702,2000 Summer,Sydney,Boxing,Boxing Men's Featherweight,NA
28703,2012 Summer,London,Athletics,Athletics Women's 100 metres,NA
28704,2012 Summer,London,Athletics,Athletics Women's Marathon,NA
28705,1960 Summer,Roma,Boxing,Boxing Men's Middleweight,NA
28706,1972 Summer,Munich,Athletics,Athletics Women's 100 metres,NA
28707,1972 Summer,Munich,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28708,1996 Summer,Atlanta,Boxing,Boxing Men's Bantamweight,NA
28709,1972 Summer,Munich,Boxing,Boxing Men's Flyweight,NA
28710,1988 Summer,Seoul,Boxing,Boxing Men's Light-Middleweight,NA
28711,2006 Winter,Torino,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
28712,2000 Summer,Sydney,Boxing,Boxing Men's Lightweight,NA
28713,2004 Summer,Athina,Athletics,Athletics Men's Javelin Throw,NA
28714,2004 Summer,Athina,Athletics,Athletics Men's 100 metres,NA
28715,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Lightweight,NA
28716,2008 Summer,Beijing,Athletics,Athletics Men's 400 metres Hurdles,NA
28717,2008 Summer,Beijing,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28718,1992 Summer,Barcelona,Athletics,Athletics Women's Marathon,NA
28719,1996 Summer,Atlanta,Athletics,Athletics Women's Marathon,NA
28720,2004 Summer,Athina,Athletics,Athletics Women's Marathon,NA
28721,1964 Summer,Tokyo,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA
28722,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28723,1988 Summer,Seoul,Athletics,Athletics Women's 100 metres Hurdles,NA
28724,1992 Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,NA
28725,1996 Summer,Atlanta,Athletics,Athletics Women's 100 metres Hurdles,Gold
28726,1984 Summer,Los Angeles,Athletics,Athletics Men's 100 metres,NA
28727,1984 Summer,Los Angeles,Athletics,Athletics Men's 200 metres,NA
28728,2008 Summer,Beijing,Athletics,Athletics Men's High Jump,NA
28729,1996 Summer,Atlanta,Boxing,Boxing Men's Flyweight,NA
28730,2000 Summer,Sydney,Boxing,Boxing Men's Flyweight,NA
28731,1980 Summer,Moskva,Athletics,Athletics Men's 400 metres,NA
28732,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28733,1988 Winter,Calgary,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28734,2004 Summer,Athina,Athletics,Athletics Men's 100 metres,NA
28735,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 400 metres,NA
28736,1972 Summer,Munich,Boxing,Boxing Men's Lightweight,NA
28737,1976 Summer,Montreal,Athletics,Athletics Men's 100 metres,NA
28738,1976 Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28739,1996 Summer,Atlanta,Athletics,Athletics Women's 800 metres,NA
28740,2000 Summer,Sydney,Athletics,Athletics Women's 800 metres,NA
28741,1948 Summer,London,Boxing,Boxing Men's Lightweight,NA
28742,1960 Summer,Roma,Boxing,Boxing Men's Bantamweight,NA
28743,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's 20 kilometres Walk,NA
28744,1992 Summer,Barcelona,Athletics,"Athletics Men's 1,500 metres",NA
28745,2008 Summer,Beijing,Athletics,Athletics Men's Discus Throw,NA
28746,1980 Summer,Moskva,Boxing,Boxing Men's Light-Heavyweight,NA
28747,1984 Summer,Los Angeles,Boxing,Boxing Men's Light-Heavyweight,NA
28748,1972 Summer,Munich,Boxing,Boxing Men's Middleweight,NA
28749,1976 Summer,Montreal,Boxing,Boxing Men's Middleweight,Bronze
28750,1992 Summer,Barcelona,Athletics,Athletics Women's 100 metres Hurdles,NA
28751,1992 Summer,Barcelona,Athletics,Athletics Women's Heptathlon,NA
28752,1996 Summer,Atlanta,Athletics,Athletics Women's Heptathlon,NA
28753,1968 Summer,Mexico City,Boxing,Boxing Men's Light-Flyweight,NA
28754,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28755,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28756,2000 Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
28757,2004 Summer,Athina,Athletics,Athletics Women's Discus Throw,NA
28758,2008 Summer,Beijing,Athletics,Athletics Women's Discus Throw,NA
28759,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28760,1996 Summer,Atlanta,Athletics,"Athletics Women's 10,000 metres",NA
28761,2000 Summer,Sydney,Athletics,Athletics Women's Marathon,NA
28762,1948 Summer,London,Athletics,Athletics Women's 80 metres Hurdles,NA
28763,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
28764,1968 Winter,Grenoble,Alpine Skiing,Alpine Skiing Women's Slalom,NA
28765,1964 Summer,Tokyo,Athletics,Athletics Men's Marathon,NA
28766,2000 Summer,Sydney,Athletics,Athletics Women's Heptathlon,NA
28767,2004 Summer,Athina,Athletics,Athletics Women's Heptathlon,NA
28768,2008 Summer,Beijing,Athletics,Athletics Women's Heptathlon,NA
28769,2012 Summer,London,Athletics,Athletics Women's Heptathlon,NA
28770,1996 Summer,Atlanta,Athletics,Athletics Men's Long Jump,NA
28771,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
28772,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28773,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28774,1992 Summer,Barcelona,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28775,2008 Summer,Beijing,Athletics,"Athletics Men's 1,500 metres",NA
28776,2008 Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk,NA
28777,2012 Summer,London,Athletics,Athletics Men's 50 kilometres Walk,NA
28778,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 50 kilometres Walk,NA
28779,1972 Summer,Munich,Athletics,Athletics Men's 100 metres,NA
28780,1952 Winter,Oslo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28781,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28782,1956 Winter,Cortina d'Ampezzo,Alpine Skiing,Alpine Skiing Men's Slalom,NA
28783,1960 Summer,Roma,Boxing,Boxing Men's Welterweight,NA
28784,1996 Summer,Atlanta,Athletics,Athletics Men's 200 metres,NA
28785,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28786,2000 Summer,Sydney,Boxing,Boxing Men's Flyweight,NA
28787,2004 Summer,Athina,Boxing,Boxing Men's Light-Welterweight,NA
28788,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Downhill,NA
28789,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Giant Slalom,NA
28790,1960 Winter,Squaw Valley,Alpine Skiing,Alpine Skiing Women's Slalom,NA
28791,1960 Summer,Roma,Athletics,Athletics Men's Marathon,NA
28792,2008 Summer,Beijing,Boxing,Boxing Men's Featherweight,NA
28793,1976 Summer,Montreal,Boxing,Boxing Men's Light-Welterweight,NA
28794,2016 Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,NA
28795,1988 Summer,Seoul,Athletics,"Athletics Men's 10,000 metres",NA
28796,1976 Winter,Innsbruck,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NA
28797,2008 Summer,Beijing,Athletics,Athletics Men's 100 metres,NA
28798,1956 Summer,Melbourne,Athletics,Athletics Men's Javelin Throw,NA
28799,1960 Summer,Roma,Athletics,Athletics Men's Javelin Throw,NA
28800,1996 Summer,Atlanta,Athletics,Athletics Women's 400 metres,NA
28801,1996 Summer,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,NA
28802,2000 Summer,Sydney,Athletics,Athletics Women's 400 metres,NA
28803,1980 Summer,Moskva,Athletics,Athletics Men's High Jump,NA
28804,1984 Summer,Los Angeles,Athletics,Athletics Men's High Jump,NA
28805,1952 Summer,Helsinki,Boxing,Boxing Men's Lightweight,NA
28806,2008 Summer,Beijing,Athletics,Athletics Men's 100 metres,NA
28807,2008 Summer,Beijing,Athletics,Athletics Men's 200 metres,NA
28808,1984 Summer,Los Angeles,Athletics,Athletics Women's Marathon,NA
28809,1992 Summer,Barcelona,Athletics,Athletics Men's Decathlon,NA
28810,1996 Summer,Atlanta,Athletics,Athletics Men's Decathlon,NA
28811,2004 Summer,Athina,Athletics,Athletics Men's Hammer Throw,NA
28812,2008 Summer,Beijing,Athletics,Athletics Men's Hammer Throw,NA
28813,2012 Summer,London,Athletics,Athletics Men's Hammer Throw,NA
28814,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Hammer Throw,Gold
28815,2012 Summer,London,Boxing,Boxing Men's Middleweight,NA
28816,2012 Summer,London,Athletics,Athletics Women's Long Jump,NA
28817,1980 Summer,Moskva,Athletics,Athletics Women's 400 metres,NA
28818,1980 Summer,Moskva,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
28819,2000 Summer,Sydney,Athletics,Athletics Women's 400 metres,NA
28820,2000 Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
28821,2004 Summer,Athina,Athletics,Athletics Women's 400 metres,NA
28822,2004 Summer,Athina,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
28823,2012 Summer,London,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
28824,1988 Summer,Seoul,Athletics,Athletics Women's 400 metres,Bronze
28825,1988 Summer,Seoul,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
28826,1992 Summer,Barcelona,Athletics,Athletics Women's 400 metres,NA
28827,1992 Summer,Barcelona,Athletics,Athletics Women's 4 x 400 metres Relay,Gold
28828,2008 Summer,Beijing,Athletics,Athletics Women's 100 metres,NA
28829,2008 Summer,Beijing,Athletics,Athletics Women's 100 metres,NA
28830,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
28831,1988 Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
28832,1992 Summer,Barcelona,Athletics,Athletics Men's 100 metres,NA
28833,1992 Summer,Barcelona,Athletics,Athletics Men's 200 metres,NA
28834,1980 Summer,Moskva,Athletics,"Athletics Men's 5,000 metres",NA
28835,1984 Summer,Los Angeles,Athletics,"Athletics Men's 5,000 metres",NA
28836,1984 Summer,Los Angeles,Athletics,"Athletics Men's 10,000 metres",NA
28837,1988 Summer,Seoul,Athletics,Athletics Women's High Jump,NA
28838,1992 Summer,Barcelona,Athletics,Athletics Women's High Jump,NA
28839,2004 Summer,Athina,Boxing,Boxing Men's Middleweight,NA
28840,2016 Summer,Rio de Janeiro,Boxing,Boxing Men's Light-Heavyweight,NA
28841,1972 Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28842,1976 Summer,Montreal,Athletics,Athletics Men's 100 metres,NA
28843,1976 Summer,Montreal,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28844,1980 Summer,Moskva,Athletics,Athletics Men's 100 metres,NA
28845,1980 Summer,Moskva,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28846,1964 Summer,Tokyo,Athletics,Athletics Men's 100 metres,NA
28847,1980 Summer,Moskva,Athletics,Athletics Men's Long Jump,NA
28848,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28849,1964 Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28850,1964 Summer,Tokyo,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28851,1968 Summer,Mexico City,Athletics,Athletics Men's 800 metres,NA
28852,1968 Summer,Mexico City,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28853,1972 Summer,Munich,Boxing,Boxing Men's Bantamweight,NA
28854,1984 Summer,Los Angeles,Boxing,Boxing Men's Lightweight,Bronze
28855,1988 Summer,Seoul,Boxing,Boxing Men's Light-Welterweight,NA
28856,1984 Summer,Los Angeles,Athletics,Athletics Women's 200 metres,NA
28857,1984 Summer,Los Angeles,Athletics,Athletics Women's 4 x 100 metres Relay,NA
28858,2000 Summer,Sydney,Athletics,Athletics Women's Triple Jump,NA
28859,2004 Summer,Athina,Athletics,Athletics Women's Long Jump,NA
28860,2004 Summer,Athina,Athletics,Athletics Women's Triple Jump,NA
28861,1968 Summer,Mexico City,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28862,1972 Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28863,1996 Summer,Atlanta,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28864,2000 Summer,Sydney,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28865,2004 Summer,Athina,Athletics,Athletics Men's 100 metres,NA
28866,1976 Summer,Montreal,Athletics,Athletics Women's 400 metres,NA
28867,1976 Summer,Montreal,Athletics,Athletics Women's 800 metres,NA
28868,1984 Summer,Los Angeles,Athletics,Athletics Women's 800 metres,NA
28869,1988 Summer,Seoul,Athletics,Athletics Women's 400 metres,NA
28870,1988 Summer,Seoul,Athletics,Athletics Men's 800 metres,NA
28871,1988 Summer,Seoul,Athletics,"Athletics Men's 1,500 metres",NA
28872,1992 Summer,Barcelona,Athletics,Athletics Women's 400 metres Hurdles,NA
28873,2000 Summer,Sydney,Athletics,Athletics Men's Marathon,NA
28874,1972 Summer,Munich,Athletics,Athletics Men's 200 metres,NA
28875,1972 Summer,Munich,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28876,1972 Summer,Munich,Athletics,Athletics Men's 4 x 400 metres Relay,NA
28877,2004 Summer,Athina,Athletics,Athletics Women's Marathon,Silver
28878,2008 Summer,Beijing,Athletics,Athletics Women's Marathon,Silver
28879,1972 Summer,Munich,Boxing,Boxing Men's Bantamweight,NA
28880,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA
28881,2016 Summer,Rio de Janeiro,Athletics,Athletics Men's 400 metres Hurdles,NA
28882,1980 Summer,Moskva,Athletics,Athletics Men's Marathon,NA
28883,2008 Summer,Beijing,Athletics,Athletics Women's 100 metres,NA
28884,2012 Summer,London,Athletics,Athletics Women's 200 metres,NA
28885,2016 Summer,Rio de Janeiro,Athletics,"Athletics Men's 5,000 metres",NA
28886,1984 Summer,Los Angeles,Athletics,Athletics Men's 100 metres,NA
28887,1984 Summer,Los Angeles,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28888,1988 Summer,Seoul,Athletics,Athletics Men's 100 metres,NA
28889,1988 Summer,Seoul,Athletics,Athletics Men's 200 metres,NA
28890,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28891,1988 Summer,Seoul,Athletics,Athletics Men's 4 x 100 metres Relay,NA
28892,1992 Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",NA
